timepoint,y_var,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist,null_dist,p_corrected,reject
0.26,ave_wheel_velocity,10000,ave_wheel_velocity ~ age_years ,0.01805696140251019,0.818954929889195,0.813918608139186,-0.000982959191975465,"[ 0.047896    0.18079862  0.03947387 ... -0.10885298  0.03879536
  0.0844219 ]",0.813918608139186,False
0.26,ave_speed_paw_l,10000,ave_speed_paw_l ~ age_years ,-76.89693831893669,3.3452246593937735e-08,9.999000099990002e-05,-0.09086995771892474,"[-1.31010854  4.70785236 33.39488282 ... -5.6418451  -2.37516672
 -1.97153998]",0.00026664000266640004,True
0.26,ave_speed_paw_r,10000,ave_speed_paw_r ~ age_years ,12.960710797653881,0.5299433203393338,0.5303469653034697,-0.034567533865586565,"[-29.89393883  -1.49566612   0.97325279 ... -36.13148877  12.27751586
  24.62039462]",0.6061108174896797,False
0.26,ave_speed_nose_tip,10000,ave_speed_nose_tip ~ age_years ,7.519330169658738,4.7535977255713885e-12,9.999000099990002e-05,-0.0066871332457976084,"[ 0.01957172  0.21369354 -1.8058476  ...  1.22945884  0.35809166
 -0.76170303]",0.00026664000266640004,True
0.26,cv_wheel_velocity,10000,cv_wheel_velocity ~ age_years ,0.22206299962676604,1.2235360704300785e-07,9.999000099990002e-05,0.000789610725354876,"[ 0.02168754 -0.0391371  -0.0097488  ...  0.08054466 -0.03022022
  0.00017191]",0.00026664000266640004,True
0.26,cv_speed_paw_l,10000,cv_speed_paw_l ~ age_years ,0.11540637204811287,0.01004135629894347,0.010298970102989701,0.00016584831671590056,"[-0.02753474 -0.00952232 -0.10349571 ...  0.0240391  -0.00341492
 -0.03240241]",0.013731960137319602,True
0.26,cv_speed_paw_r,10000,cv_speed_paw_r ~ age_years ,0.18403203905814905,0.0003514964456717512,0.00029997000299970003,0.0003136941592070082,"[ 0.01399833  0.00112541 -0.05227179 ...  0.08362782  0.00338113
 -0.08906985]",0.0005999400059994001,True
0.26,cv_speed_nose_tip,10000,cv_speed_nose_tip ~ age_years ,0.06614353839924604,0.0003041770495244562,0.00039996000399960006,-5.557555059264705e-05,"[ 0.00422196  0.00316966 -0.00416977 ...  0.00912174 -0.0110459
  0.00714302]",0.0006399360063993601,True
