cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,ff_quench,1000,ff_quench ~ age_years + n_trials,0.12280949010544726,0.0013921159197825526,0.028971028971028972,-0.003102679016284375
ACA,ff_quench,1000,ff_quench ~ age_years + n_trials,0.08628400126583775,0.11436987187801895,0.1878121878121878,0.00298066754317073
CP,ff_quench,1000,ff_quench ~ age_years + n_trials,0.08178763962832447,0.3354135301302137,0.44955044955044954,0.0047657778930133825
LS,ff_quench,1000,ff_quench ~ age_years + n_trials,0.09677078782973161,2.1516799481011628e-05,0.004995004995004995,0.0015054631755201178
ACB,ff_quench,1000,ff_quench ~ age_years + n_trials,0.26386349641157136,0.015013495528546828,0.030969030969030968,0.004126406581744012
mPFC,ff_quench,1000,ff_quench ~ age_years + n_trials,0.07007743088281694,0.3497748404854143,0.3866133866133866,-0.00431139873184101
ORB,ff_quench,1000,ff_quench ~ age_years + n_trials,0.061253577623755634,0.16609187338656362,0.33966033966033965,-0.009032466328789337
OLF,ff_quench,1000,ff_quench ~ age_years + n_trials,0.12928837709916835,0.01789027548409084,0.00999000999000999,0.002181467818126471
VISp+pm,ff_quench,1000,ff_quench ~ age_years + n_trials,0.13922969973122762,0.00026881516037945537,0.08891108891108891,-0.0042883751343943104
SCm,ff_quench,1000,ff_quench ~ age_years + n_trials,0.2681237208650287,0.05432661768597729,0.11688311688311688,-0.007167864983420948
MBm,ff_quench,1000,ff_quench ~ age_years + n_trials,0.05717756403715154,0.23879132713628703,0.5474525474525475,0.008791094753050208
PPC,ff_quench,1000,ff_quench ~ age_years + n_trials,-0.05191695125515434,0.4191966010873922,0.4095904095904096,-0.001621759863294705
CA1,ff_quench,1000,ff_quench ~ age_years + n_trials,-0.13280882062972926,0.08216979289187165,0.0959040959040959,0.0010898362670385144
DG,ff_quench,1000,ff_quench ~ age_years + n_trials,0.042771958116293717,0.5003535126439859,0.6113886113886113,-0.0011615165448863045
LP,ff_quench,1000,ff_quench ~ age_years + n_trials,0.10410164517361348,0.006505321864458249,0.02197802197802198,-0.0009624914200888383
PO,ff_quench,1000,ff_quench ~ age_years + n_trials,-0.035574922906336785,0.42870892485126844,0.6643356643356644,0.001037299831618098
