,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,-0.06339600255916457,0.006244235192464133,6.244235192464133e-05,6.384024850682608e-05,-0.07554947004047001,-0.06758549281903493,-0.06340371216465637,-0.05922294353548042,-0.051119906013580414
age_years,0.12954346160652322,0.022886491127637968,0.00022886491127637967,0.00022554869565618232,0.08558050517460963,0.11391646761400405,0.12943175490763015,0.14508564372808713,0.17426337256862473
abs_contrast,-0.08025779513383562,0.017342100175582294,0.00017342100175582294,0.0001734210017558228,-0.11401456230422975,-0.0922976337740864,-0.08018519155468241,-0.0683201158662893,-0.04653121994962935
n_trials,0.0037093241306225024,0.0007750752122425488,7.750752122425488e-06,7.750752122425501e-06,0.0022036090667781477,0.003180221900395963,0.003709922813466583,0.00423267364782748,0.005247035638471265
sig2,0.2698107786936783,0.004587467785775699,4.5874677857756994e-05,4.587467785775691e-05,0.26091090697335423,0.26668665213014514,0.2697696936560895,0.2728812952252213,0.278961220436197
g,0.07108129591961919,0.1742319994897935,0.001742319994897935,0.0017423199948979346,0.012243258255460784,0.0250840436380991,0.04047911265719732,0.07106256326090862,0.2914186291138642
