,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.07829686385117933,0.004402380927932516,4.402380927932516e-05,4.402380927932515e-05,0.06956116397646941,0.07539808118182036,0.07832821121840974,0.08124189752804152,0.08699359797561293
age_years,0.11034419198260871,0.01633913717668324,0.00016339137176683241,0.00016339137176683195,0.07891219565420003,0.09942822338413207,0.11008464012041841,0.12131441565628218,0.14275649195818915
abs_contrast,0.005254097859542813,0.012238960092289726,0.00012238960092289725,0.00012238960092289698,-0.018498744269390428,-0.003019513694713611,0.005376092384127778,0.013422586475650053,0.029340882311302063
n_trials,0.0031260037592086743,0.0004976335933743361,4.976335933743362e-06,5.0554197240585265e-06,0.002146937376552622,0.002793861140114329,0.003130092454445276,0.003463171307986905,0.0040959090943793785
sig2,0.5524559563817089,0.004650186876642696,4.650186876642696e-05,4.778813565366027e-05,0.5433824777012528,0.5493088557760456,0.5524389911458975,0.5556074083005017,0.5617076668239122
g,0.06371020137610238,0.11732272724327607,0.0011732272724327608,0.0011732272724327615,0.011592463240004148,0.024132524796136066,0.03906895038027252,0.06757372998969743,0.2646076688905747
