eid,threshold_l,threshold_r,threshold,bias_l,bias_r,bias,lapselow_l,lapselow_r,lapselow,lapsehigh_l,lapsehigh_r,lapsehigh,corr_rt_median,rt_median,rt_raw_median,rt_CV,rt_raw_CV,corr_rt_CV,rt_MAD,rt_raw_MAD,corr_rt_MAD,bias_shift,lapselow_shift,lapsehigh_shift,abs_bias,mean_lapse,mouse_age,age_group,age_months,age_years
cae5cd75-55e5-4277-8db3-cf4d6c5ff918,17.30869161048043,5.000000020254481,9.533757913994073,-0.003169998701050126,-2.854821014120305,0.003137044828874877,2.992943319737439e-11,0.05227446476095861,0.03522097766167141,1.0390804267506112e-10,0.026961435333045826,0.017909039879992865,0.38972175150581734,0.396660933775081,0.396660933775081,0.7201883109516639,0.7201883109516639,0.6855112049421769,0.07191163427651759,0.07191163427651759,0.0703050848391627,2.851651015419255,-0.052274464731029174,-0.026961435229137784,0.003137044828874877,0.02656500877083214,293,old,9.766666666666667,0.8027397260273973
25f77e81-c1af-46ab-8686-73ac3d67c4a7,13.506669256566934,5.000000411826898,15.443258768899199,1.4566236840817957,-11.360482466909609,-9.942241645639026,0.026909368094987958,0.14078310164384783,0.04886973967582105,1.5090149258659686e-11,0.020572454739743833,0.016324406680421198,0.3036048158196252,0.30617947957813385,0.30617947957813385,0.6908832037141472,0.6908832037141472,0.5718989100776034,0.05292477934960965,0.05292477934960965,0.041721482486281075,12.817106150991405,-0.11387373354885988,-0.020572454724653685,9.942241645639026,0.03259707317812112,295,old,9.833333333333334,0.8082191780821918
4ddb8a95-788b-48d0-8a0a-66c7c796da96,16.43473034793832,14.917099378329354,20.761576027904063,0.004295180739259321,-7.119387524529922,-1.0160618790109335,2.2507938128515117e-11,0.06803264748374714,6.291586468954873e-10,0.13828974039610797,0.02172793727476672,7.699912128559087e-08,0.3531388575900678,0.3692166666666097,0.3692166666666097,0.5238452201869801,0.5238452201869801,0.49310828143001023,0.1095333333333599,0.1095333333333599,0.0954171132355413,7.123682705269181,-0.0680326474612392,0.11656180312134126,1.0160618790109335,3.881413996624318e-08,251,old,8.366666666666667,0.6876712328767123
f8041c1e-5ef4-4ae6-afec-ed82d7a74dc1,9.145502209588376,6.552575065022323,13.261376388251602,-0.002194502472415056,-5.658792988369377,0.15883140574914795,6.653219714542409e-12,0.17445905447357513,0.05516384790754174,0.1682606963886477,0.012021801550288983,0.011071311619387002,0.2801666666666733,0.2814437192781085,0.2814437192781085,0.5452631935049804,0.5452631935049804,0.4414011786244622,0.04148895962861593,0.04148895962861593,0.038923671354950784,5.656598485896962,-0.1744590544669219,0.15623889483835873,0.15883140574914795,0.03311757976346437,252,old,8.4,0.6904109589041096
65f5c9b4-4440-48b9-b914-c593a5184a18,8.563058761225433,5.0000000037807695,10.590736146775594,2.077678701617808,-7.5017098007585385,-1.5772108767530715,0.005642045681866725,0.016129255541110873,0.010603917276382012,0.035466419472623065,0.04757221938466914,0.014775423104838314,0.36030529507573306,0.3734385005031413,0.3734385005031413,0.5692052814986367,0.5692052814986367,0.5700196448154967,0.09148365822150595,0.09148365822150595,0.07995529507573451,9.579388502376347,-0.010487209859244149,-0.012105799912046078,1.5772108767530715,0.012689670190610163,253,old,8.433333333333334,0.6931506849315069
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,6.797122097738283,5.00000000941974,5.000000222959901,3.7259579872383948,3.475148744735823,3.7006941760478216,0.1093398260021051,0.46563768160662455,0.21037734468510563,0.024497279197883755,0.0011298890564280005,0.008645506045721686,0.3144546113500155,0.3192999999999983,0.3192999999999983,0.796883613767156,0.796883613767156,0.8178217203116492,0.0660666666666429,0.0660666666666429,0.0615123448051236,0.25080924250257164,-0.35629785560451943,0.023367390141455755,3.7006941760478216,0.10951142536541365,295,old,9.833333333333334,0.8082191780821918
ff96bfe1-d925-4553-94b5-bf8297adf259,5.567178169026251,18.354936726316488,16.24054916911237,7.911351897579523,-0.6608266270048075,4.853082341725205,0.05544140087646679,1.6315967441633286e-11,0.011925841390019308,0.04949992078320191,0.027306579538877447,0.019175633181681598,0.2771333333330403,0.2896499251794466,0.2896499251794466,0.5515831721005081,0.5515831721005081,0.42243013984081623,0.05532648961639103,0.05532648961639103,0.05108926170737499,8.57217852458433,0.05544140086015082,0.022193341244324462,4.853082341725205,0.015550737285850453,232,old,7.733333333333333,0.6356164383561644
a9138924-4395-4981-83d1-530f6ff7c8fc,22.32404121801106,18.425170984375768,20.75775487470765,3.387616345645087,-4.5480946211330675,-2.250359936483944,0.030590953302778404,0.18789715168503474,0.08480393657515822,6.834969464428558e-06,3.582834195125084e-11,3.912427516610767e-12,0.2581333333333759,0.2658333333333758,0.2658333333333758,0.4777309137323014,0.4777309137323014,0.49626152151438246,0.04955434853263799,0.04955434853263799,0.042466666666683694,7.935710966778155,-0.15730619838225635,6.834933636086607e-06,2.250359936483944,0.042401968289535324,233,old,7.766666666666667,0.6383561643835617
952870e5-f2a7-4518-9e6d-71585460f6fe,12.910021847751356,10.536742349098475,10.985476687528601,1.7505857622680563,-5.322312095963533,-2.419442625123133,0.00177193030435588,0.04366911587574218,0.018637623570223444,0.07851288940223553,0.059251482957234675,0.06469362789670191,0.24780451225683459,0.2494000000001506,0.2494000000001506,0.7325907914855518,0.7325907914855518,0.5534839109164676,0.040166666666891615,0.040166666666891615,0.03681208152147521,7.07289785823159,-0.0418971855713863,0.01926140644500085,2.419442625123133,0.04166562573346268,189,young,6.3,0.5178082191780822
f304211a-81b1-446f-a435-25e589fe3a5a,11.63520201155831,37.122671215368314,24.80159544043986,9.622265720420724,0.0030872228403422504,1.6669638705480838,0.06180917047605626,0.15897096733167795,0.03537094911738879,0.13852904012195888,5.247477385589241e-13,0.08961035591198795,0.22120438702458495,0.2212754407157149,0.2212754407157149,0.38596711424998037,0.38596711424998037,0.3748236453049646,0.039875440715775284,0.039875440715775284,0.038608203787674655,9.619178497580382,-0.0971617968556217,0.13852904012143413,1.6669638705480838,0.06249065251468837,190,young,6.333333333333333,0.5205479452054794
