criterion,y_var,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
first_recording,perf_easy,10000,perf_easy ~ age_years,-0.03145395515153429,3.6798343337768845e-07,9.999000099990002e-05,5.36329816883091e-05
get_trained,perf_easy,10000,perf_easy ~ age_years,-0.0401464070646991,2.202832647241944e-05,0.00019998000199980003,-2.0663875460201825e-05
