y_var,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
bias_shift,10000,bias_shift ~ age_years,3.428299875191389,0.06753150306678765,0.06529347065293471,-0.016357474910269964
lapselow_shift,10000,lapselow_shift ~ age_years,0.01839485504984049,0.34413042611866096,0.34196580341965804,0.00019969993109148675
lapsehigh_shift,10000,lapsehigh_shift ~ age_years,0.0031736658198768253,0.8786734535237014,0.8777122287771223,-7.610211172396798e-05
