n_day_from_start,y_var,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
20,perf_easy,100,perf_easy ~ age_years,-0.17360525989372363,1.5716704579091092e-05,0.009900990099009901,-0.0027897365552862004
50,perf_easy,100,perf_easy ~ age_years,-0.08004809517185492,0.003018421933616809,0.019801980198019802,-0.004189493906129414
