,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.023379044237326962,0.006337246852735312,6.337246852735313e-05,6.3372468527353e-05,0.01100197793135439,0.019115010223035786,0.023400665162480256,0.02770638322708129,0.03582358772882478
age_years,0.10358804649165024,0.02312747829923211,0.0002312747829923211,0.00022957816026976903,0.0580699641405155,0.08794530278418441,0.1035722518941421,0.1194111104952122,0.14918707843403342
abs_contrast,-0.004285319869750879,0.017821259964783277,0.00017821259964783277,0.0001782125996478327,-0.0392420992618592,-0.016243370930382982,-0.004254256051278506,0.007737141108053518,0.03042938101797918
n_trials,0.006671507026621182,0.0007778378453166612,7.778378453166611e-06,7.778378453166604e-06,0.005153390871892877,0.0061564668285693696,0.006672679763148942,0.007195550253036701,0.008186383718485912
sig2,0.27704011049600447,0.0046225424655525855,4.622542465552586e-05,4.314708741819567e-05,0.26813771528270847,0.27391108189749086,0.2769461094071199,0.2801544084632152,0.28629940566055284
g,0.06940301171128067,0.13494968410154481,0.001349496841015448,0.0013494968410154475,0.012820386040547303,0.025910570843136905,0.041398501558245565,0.07254433409151995,0.2943922211248221
