,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.0290122188036974,0.007129869882321258,7.129869882321259e-05,7.129869882321255e-05,0.014990623260748405,0.02421012974753265,0.02903787908560876,0.033787744405661735,0.04304367794232806
age_years,0.030622118708961088,0.02570865093225838,0.00025708650932258385,0.00026752554653548387,-0.020452122836414895,0.013411036757042048,0.030530304955361035,0.04785685843391528,0.08096084161860838
abs_contrast,-0.01994824075258378,0.019771564561402544,0.00019771564561402543,0.00019771564561402532,-0.058136688853974675,-0.03318319618550954,-0.020340111626648692,-0.006459826648238947,0.01881277188320203
n_trials,0.0009114385178168314,0.0011132902610499818,1.1132902610499819e-05,1.1132902610499819e-05,-0.001202894488325902,0.00014638799502730412,0.0009069817267638568,0.0016614715056373357,0.003107325199612763
sig2,0.21025979442583362,0.0046523948962227096,4.652394896222709e-05,4.652394896222705e-05,0.2012719130363709,0.20714170026546413,0.21021997218599248,0.21335306434550005,0.21954425706371047
g,0.06150559435949441,0.09468311183100038,0.0009468311183100038,0.0009640970633910399,0.011218371752264259,0.023440372447452305,0.03699256469243893,0.06549367710915129,0.2574031967558879
