,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,-0.03290962176930277,0.007083839400697209,7.083839400697208e-05,7.08383940069722e-05,-0.04690413426077879,-0.03769336985053799,-0.03288099208598646,-0.028120486907101422,-0.01931427580262289
age_years,-0.004215087120147721,0.017911135450505863,0.0001791113545050586,0.00017911135450505856,-0.03842630292096124,-0.01660824765046182,-0.004382808468391991,0.008009145834584125,0.030488614893344902
abs_contrast,-0.108128671161367,0.01964468060341565,0.0001964468060341565,0.00019644680603415643,-0.14657463734718387,-0.12143916255883562,-0.10820439063131687,-0.09482610013120213,-0.06926515757147997
n_trials,0.0024739804230894716,0.0008893647717262917,8.893647717262918e-06,8.893647717262911e-06,0.0007322881253189943,0.0018702893566652696,0.002484789094446884,0.0030757988328530515,0.004203743028585928
sig2,0.19665649390192286,0.004468911084903106,4.4689110849031064e-05,4.46891108490311e-05,0.18802302455406247,0.19360153703695399,0.1966145878020248,0.19963458307744403,0.20556968878524737
g,0.06551996775907483,0.12571877831710068,0.0012571877831710067,0.0012571877831710108,0.012193358034066218,0.024735374776241822,0.03988867248692138,0.06944495661061341,0.25786812246715357
