,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.34822219303227187,0.0035086333309781,3.5086333309780996e-05,3.5086333309780935e-05,0.3413688475375567,0.34583673192130926,0.34819904926316514,0.35064135053725176,0.35510375938705
age_years,0.08022660835553211,0.01281884290977055,0.0001281884290977055,0.00012818842909770553,0.054695354106719954,0.07160754256678648,0.08034775032740907,0.08901936840775758,0.1046321494114335
abs_contrast,0.025937561214639963,0.00984829361132132,9.848293611321319e-05,9.848293611321323e-05,0.006809017503519692,0.01921617958101013,0.025855319440401255,0.032727000330087394,0.04513794704254837
n_trials,0.0006141103506685405,0.0004318376741813556,4.318376741813556e-06,4.420153937474158e-06,-0.00022899609801250442,0.00032742948199574785,0.0006141820761686079,0.000901779072495668,0.0014556034997329774
sig2,0.22328194285732755,0.0023284685701182475,2.3284685701182473e-05,2.3284685701182435e-05,0.21884462333583382,0.2217103737903303,0.22322822426455058,0.22483904606046562,0.22789542015903247
g,0.06325191872997012,0.10301878604224582,0.0010301878604224582,0.0010742463310675814,0.011443059556562465,0.02367810169513632,0.03837188371037597,0.06663710693552058,0.25858353852590116
