y_var,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
mad_rt,10000,mad_rt ~ age_years,0.036459720907743756,1.2412378732346206e-06,9.999000099990002e-05,0.00017742307891307894
cv_rt,10000,cv_rt ~ age_years,0.1581071918474799,1.960751605632502e-16,9.999000099990002e-05,0.00020629611445215835
sd_log_rt,10000,sd_log_rt ~ age_years,0.16682675858128185,1.865909386613142e-26,9.999000099990002e-05,0.00028260180079672434
