n_day_from_start,y_var,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
20,perf_easy,10000,perf_easy ~ age_years,-0.17360525989372363,1.5716704579091092e-05,0.00029997000299970003,4.146688776274221e-09
50,perf_easy,10000,perf_easy ~ age_years,-0.08004809517185492,0.003018421933616809,0.0046995300469953,0.00015883024253071003
