,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.14840876088905888,0.006828325897585819,6.828325897585818e-05,6.828325897585816e-05,0.13518820465150702,0.14379473166682621,0.14836605729355784,0.1530455800673401,0.1620334264112578
age_years,0.15924753568037542,0.038119047375346264,0.0003811904737534626,0.0003676012676380192,0.0863300552085258,0.13329037034216812,0.15891807703888397,0.18518221964132894,0.23500672787562288
abs_contrast,0.01809584014099223,0.019299781297047854,0.00019299781297047854,0.00019299781297047843,-0.020372728908237884,0.00522232463786692,0.018260808795715018,0.031088243200774295,0.05576074473887344
n_trials,0.0019056811044172442,0.0008030527966080724,8.030527966080724e-06,8.030527966080715e-06,0.0003396435959927776,0.0013530119315986538,0.0019104942990788112,0.002447147902147952,0.003470132231957763
sig2,0.4991551088054605,0.006908148861800892,6.908148861800893e-05,6.908148861800886e-05,0.48564856823803515,0.49448351331408236,0.4991682066618566,0.5038535525940616,0.5127898866286229
g,0.06180092025859379,0.11836190092996554,0.0011836190092996554,0.0011836190092996577,0.011485355114977794,0.02346744186214717,0.037814945935823,0.06591424229584378,0.24807303432029756
