criterion,y_var,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
first_recording,perf_easy,100,perf_easy ~ age_years,-0.03145395515153429,3.6798343337768845e-07,0.009900990099009901,0.00076074844408445
get_trained,perf_easy,100,perf_easy ~ age_years,-0.0401464070646991,2.202832647241944e-05,0.009900990099009901,0.0009811013761491963
