,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,1.64056499143954,0.02300001392817021,0.00023000013928170212,0.0002300001392817024,1.5958513299105634,1.6251506325685297,1.6404200615745212,1.6560480642633997,1.6865933422507944
age_years,0.5351304847515228,0.06557794444865594,0.0006557794444865594,0.0006557794444865583,0.40366025417237733,0.4919403199001981,0.5352770201983825,0.5792199033954077,0.6616889174426898
abs_contrast,0.04032238668961086,0.062255101028435275,0.0006225510102843527,0.0006225510102843513,-0.08267196540830724,-0.002288375298456243,0.04013547948028559,0.08159042560439761,0.16229850529948334
n_trials,0.010976438238388632,0.0025420658741529593,2.5420658741529594e-05,2.4701201334137617e-05,0.00600505270753015,0.009274129967057197,0.010957654427638491,0.012668093062220982,0.015967876550845354
sig2,3.3633010591189714,0.059640342095369885,0.0005964034209536989,0.0005964034209536995,3.249148027357104,3.321808141832999,3.3629424572696895,3.4031434264598617,3.4820609373342917
g,0.07044376502301604,0.17149559351558902,0.00171495593515589,0.0017149559351558933,0.012687257502453326,0.02583931180468735,0.04156725038652577,0.0721795415327512,0.2915646912983263
